# package	classification	executables	desktop_files	units	purpose	profile
# desktop_files use application: or wayland: prefixes; units use user: or system: prefixes.
# profile is exactly all, desktop, or laptop.
fedora-release-workstation	session	-	-	-	Fedora Workstation base retained intact beneath the added desktops	all
gdm	feature	-	-	system:gdm.service	Installed inactive rollback display manager; PLM owns the boot alias	all
gnome-shell	session	gnome-shell	-	-	Retained Workstation GNOME shell	all
gnome-session-wayland-session	session	-	wayland:gnome.desktop	-	Retained Workstation GNOME Wayland session	all
mutter	session	-	-	-	Retained Workstation GNOME compositor	all
niri	session	niri	wayland:niri.desktop	user:niri.service	Primary compositor and package-provided Wayland session	all
noctalia	session	noctalia	application:dev.noctalia.Noctalia.desktop	-	Native shell for the Niri session	all
plasma-desktop	session	-	-	-	Fedora KDE group anchor for the full Plasma fallback desktop	all
plasma-workspace	session	plasmashell,startplasma-wayland	wayland:plasma.desktop	user:plasma-workspace.target	Plasma shell workspace and package-provided Wayland session	all
kwin	session	kwin_wayland	-	-	Wayland compositor for the Plasma session	all
xdg-desktop-portal-kde	session	-	-	user:plasma-xdg-desktop-portal-kde.service	Native portal backend selected only inside Plasma	all
polkit-kde	session	-	-	user:plasma-polkit-agent.service	PolicyKit authentication agent for Plasma	all
plasma-systemsettings	feature	systemsettings	application:systemsettings.desktop	-	Plasma desktop configuration interface	all
dolphin	feature	dolphin	application:org.kde.dolphin.desktop	-	Plasma fallback file manager	all
konsole	feature	konsole	application:org.kde.konsole.desktop	-	Plasma fallback terminal	all
plasma-login-manager	session	plasmalogin	-	system:plasmalogin.service	Active login manager offering GNOME, primary Niri, and fallback Plasma	all
pam-kwallet	session	-	-	-	Plasma Login Manager PAM module for canonical KDE wallet login unlock	all
ksshaskpass	feature	ksshaskpass	-	-	Graphical passphrase prompt for Plasma's package-owned OpenSSH agent	all
plasma-setup	optional	-	-	system:plasma-setup.service	Fedora KDE group OOBE retained but disabled on an already-provisioned Workstation	all
pipewire	session	pipewire	-	user:pipewire.service	Audio and Noctalia runtime	all
wireplumber	session	wireplumber	-	user:wireplumber.service	PipeWire session policy	all
xdg-desktop-portal	session	-	-	user:xdg-desktop-portal.service	Portal broker	all
xdg-desktop-portal-gnome	session	-	-	-	GNOME portal backend	all
xdg-desktop-portal-gtk	session	-	-	-	GTK portal backend	all
nautilus	session	nautilus	application:org.gnome.Nautilus.desktop	-	Niri GNOME portal FileChooser delegate; Yazi remains the default file manager	all
gnome-keyring	feature	-	-	user:gnome-keyring-daemon.service	Niri Secret Service and login keyring	all
gnome-keyring-pam	session	-	-	-	Plasma Login Manager PAM module for Niri login-keyring unlock	all
gcr	feature	-	-	user:gcr-ssh-agent.socket	Fedora GCR SSH agent for Niri and retained GNOME sessions	all
polkit	session	-	-	system:polkit.service	Authority for Noctalia PolicyKit agent	all
xwayland-satellite	session	xwayland-satellite	-	-	X11 compatibility under Niri	all
NetworkManager	feature	nmcli	-	system:NetworkManager.service	Noctalia network backend	all
bluez	feature	bluetoothctl	-	system:bluetooth.service	Bluetooth backend	all
upower	feature	upower	-	system:upower.service	Power and battery backend	all
bash	feature	bash,sh	-	-	Tracked shell scripts and hooks	all
coreutils	feature	install,cp,mv,rm,mkdir,mktemp,chmod,cat,head,tail,dirname,date,cut,sort,test,base64,sha256sum,sleep,readlink,uname,env,id,stat,sync,ln,nl	-	-	Core script and clean-install utilities	all
diffutils	feature	cmp	-	-	Safe file comparison	all
findutils	feature	find	-	-	Deployment inventory	all
gawk	feature	awk	-	-	Script parsing	all
git-core	feature	git	-	-	Deployment and synchronization	all
gh	feature	gh	-	-	GitHub CLI for reviewed API workflows and extension management	all
git-lfs	feature	git-lfs	-	-	Git LFS filters and transfer support for notes attachments and wallpapers	all
grep	feature	grep	-	-	Validation parsing	all
sed	feature	sed	-	-	Configuration diagnostics	all
stow	feature	stow	-	-	User configuration deployment	all
util-linux	feature	flock,findmnt,setsid,lsblk,mount,umount,chsh	-	-	Locks storage inspection mount tests login shell selection and detached openers	all
systemd	feature	systemctl,systemd-analyze,journalctl,udevadm,systemd-run,hostnamectl	-	-	User units transient checks host naming and validation	all
flatpak	feature	flatpak	-	-	Selected desktop applications	all
python3	feature	python3	-	-	Desktop helpers and tests	all
jq	feature	jq	-	-	Niri IPC parsing	all
fish	feature	fish	-	-	Interactive shell	all
ripgrep	development	rg	-	-	Repository and document search	all
curl	development	curl	-	-	Explicit source inspection	all
gnupg2	feature	gpg	-	-	Vendor signing-key fingerprint inspection	all
tar	feature	tar	-	-	Reviewed upstream release archive extraction	all
sudo	development	sudo,sudoedit	-	-	Manual reviewed privileged operations	all
dnf-plugins-core	feature	-	-	-	COPR and DNF repository commands	all
rpm	feature	rpm	-	-	Installed-package verification and vendor signature checks	all
fontconfig	feature	fc-list,fc-match,fc-cache	-	-	Configured font installation discovery and verification	all
acl	feature	getfacl	-	-	Bongo Cat input-device ACL verification	all
openssh-clients	feature	ssh,scp,sftp,ssh-keygen,ssh-copy-id,ssh-add	-	-	OpenSSH client tools; inbound sshd is not selected	all
libnotify	optional	notify-send	-	-	Feature-local desktop diagnostics	all
xdg-utils	feature	xdg-open,xdg-mime	-	-	Desktop opener and MIME-default verification	all
wl-clipboard	feature	wl-copy,wl-paste	-	-	Wayland CLI copy/paste, Yazi file-URI yanks, and screenshot handoff; not history or persistence	all
procps-ng	feature	pkill	-	-	Noctalia recorder process control and optional Orca toggle	all
dbus-tools	feature	dbus-send	-	-	Zathura theme reload hook	all
desktop-file-utils	development	desktop-file-validate	-	-	Desktop-entry validation	all
ShellCheck	development	shellcheck	-	-	Shell static analysis	all
helix	feature	hx	application:Helix.desktop	-	Default text and Markdown editor	all
neovim	optional	nvim	-	-	Stock secondary editor	all
shfmt	feature	shfmt	-	-	Bash formatter	all
uv	development	uv	-	-	Python environments and user tools	all
nodejs22	development	node	-	-	Fedora 44 Node.js 22 runtime for Pi and language servers	all
nodejs22-npm	development	npm	-	-	Fedora 44 npm package for user-prefix tools	all
rust	development	rustc	-	-	Rust compiler for locked Cargo tools	all
cargo	development	cargo	-	-	Locked Rust tool installation	all
gcc	development	gcc	-	-	Native build prerequisite	all
gcc-c++	development	g++	-	-	C++ build prerequisite	all
make	development	make	-	-	Native build prerequisite	all
cmake	development	cmake	-	-	Native build prerequisite	all
pkgconf-pkg-config	development	pkg-config	-	-	Native dependency discovery	all
openssl-devel	development	-	-	-	Cargo build prerequisite	all
git-delta	feature	delta	-	-	LazyGit pager	all
poppler-utils	development	pdftotext	-	-	Scientific PDF extraction	all
blender	feature	blender	application:blender.desktop	-	Installed 3D application	all
firefox	feature	firefox	application:org.mozilla.firefox.desktop	-	Secondary browser	all
inkscape	feature	inkscape	application:org.inkscape.Inkscape.desktop	-	SVG editor and additional handler	all
obs-studio	feature	obs	application:com.obsproject.Studio.desktop	-	Recording and streaming application	all
obs-studio-plugin-browser	feature	-	-	-	OBS browser source	all
thunderbird	feature	thunderbird	application:net.thunderbird.Thunderbird.desktop	-	Mail calendar and message handler	all
playerctl	feature	playerctl	-	-	Configured media-key actions	all
orca	optional	orca	-	-	Configured optional screen-reader toggle	all
imv	feature	imv	application:imv.desktop	-	Default image viewer	all
mpv	feature	mpv	application:mpv.desktop	-	Default audio and video player	all
mpv-mpris	feature	-	-	-	mpv desktop media integration	all
swappy	feature	swappy	application:swappy.desktop	-	Screenshot annotation	all
zathura	feature	zathura	application:org.pwmt.zathura.desktop	-	Default PDF viewer	all
zathura-pdf-poppler	feature	-	-	-	Zathura PDF backend	all
okular	feature	okular	application:org.kde.okular.desktop,application:okularApplication_pdf.desktop	-	Installed secondary PDF application	all
ImageMagick	feature	magick	-	-	Fish image conversion helper	all
ddcutil	feature	ddcutil	-	-	External-monitor brightness	all
btop	feature	btop	-	-	Noctalia template target	all
cava	feature	cava	-	-	Noctalia visualizer and template	all
eza	optional	eza	-	-	Fish listing enhancement	all
evtest	feature	evtest	-	-	Noctalia Bongo Cat input reader	all
