# tool	classification	source_class	preferred_source	executables	desktop_files	units	update_procedure	uninstall_procedure	purpose_or_trust_boundary	profile
google-chrome-stable	feature	official-vendor-repository	https://dl.google.com/linux/direct/google-chrome-stable_current_x86_64.rpm	google-chrome-stable	application:google-chrome.desktop	-	sudo dnf upgrade google-chrome-stable	sudo dnf remove google-chrome-stable	Google-signed RPM and update repository; selected secondary browser	all
code	feature	official-vendor-repository	https://packages.microsoft.com/yumrepos/vscode	code	application:code.desktop	-	sudo dnf upgrade code	sudo dnf remove code	Microsoft-signed Visual Studio Code RPM; minimal scientific IDE fallback while Helix remains primary	all
ms-python.python	feature	official-vscode-extension	https://marketplace.visualstudio.com/items?itemName=ms-python.python	-	-	-	code --update-extensions	code --uninstall-extension ms-python.python	Selected Microsoft Python extension; dependencies remain provider-managed	all
ms-toolsai.jupyter	feature	official-vscode-extension	https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter	-	-	-	code --update-extensions	code --uninstall-extension ms-toolsai.jupyter	Selected Microsoft Jupyter extension; dependencies remain provider-managed	all
charliermarsh.ruff	feature	official-vscode-extension	https://marketplace.visualstudio.com/items?itemName=charliermarsh.ruff	-	-	-	code --update-extensions	code --uninstall-extension charliermarsh.ruff	Selected Astral Ruff extension for the minimal scientific fallback	all
gh-dash	feature	reviewed-gh-extension	https://github.com/dlvhdr/gh-dash	-	-	-	gh extension upgrade gh-dash	gh extension remove gh-dash	Reviewed community GitHub CLI dashboard extension managed by gh	all
tailscale	feature	official-vendor-repository	https://pkgs.tailscale.com/stable/fedora/tailscale.repo	tailscale,tailscaled	-	system:tailscaled.service	sudo dnf upgrade --from-repo=tailscale-stable tailscale	sudo dnf remove tailscale	Official stable vendor repository; constrain transactions because Fedora also provides this package name	all
nvidia-driver-desktop	feature	reviewed-third-party-repository	https://rpmfusion.org/Howto/NVIDIA	nvidia-smi	-	-	sudo dnf upgrade --refresh	sudo dnf remove akmod-nvidia xorg-x11-drv-nvidia-cuda	Desktop-only RPM Fusion packages after Secure Boot review	desktop
ghostty	feature	reviewed-community-copr	https://copr.fedorainfracloud.org/coprs/scottames/ghostty/	ghostty	application:com.mitchellh.ghostty.desktop	-	sudo dnf upgrade ghostty	sudo dnf remove ghostty	Reviewed community COPR linked by Ghostty's Fedora instructions	all
yazi	feature	reviewed-community-copr	https://copr.fedorainfracloud.org/coprs/lihaohong/yazi/	yazi,ya	-	-	sudo dnf upgrade yazi	sudo dnf remove yazi	Reviewed community COPR; terminal-only file manager invoked explicitly	all
keyd	feature	reviewed-community-copr	https://copr.fedorainfracloud.org/coprs/alternateved/keyd/	keyd	-	system:keyd.service	sudo dnf upgrade keyd	sudo dnf remove keyd	Reviewed community COPR explicitly linked by upstream keyd for Fedora	all
lazygit	feature	upstream-documented-third-party-copr	https://copr.fedorainfracloud.org/coprs/dejan/lazygit/	lazygit	-	-	sudo dnf upgrade lazygit	sudo dnf remove lazygit	Upstream-documented third-party COPR; spec source is https://codeberg.org/dejan/rpm-lazygit	all
starship	feature	upstream-documented-third-party-copr	https://copr.fedorainfracloud.org/coprs/atim/starship/	starship	-	-	sudo dnf upgrade starship	sudo dnf remove starship	Upstream-documented third-party COPR; uploaded spec is published in each COPR build/SRPM; configured Fish prompt and theme target	all
pixi	feature	official-upstream-installer	https://pixi.sh/install.sh	pixi	-	-	naldo-update runs pixi self-update only when the binary resolves to the official-installer path	rm ~/.pixi/bin/pixi	Selected scientific environment manager; inspect a downloaded installer locally and do not pipe it to a shell	all
tuicr	feature	official-upstream-installer	https://tuicr.dev/install.sh	tuicr	-	-	tuicr update	rm ~/.local/bin/tuicr	Terminal code-review interface; install a checksum-verified release through the reviewed official installer and record provider ownership	all
herdr	feature	official-upstream-installer	https://herdr.dev/install.sh	herdr	-	-	herdr update	rm ~/.local/bin/herdr; upstream documents no dedicated uninstaller	Stable-channel direct install; execute a reviewed local installer and record its provider receipt	all
marksman	feature	official-upstream-release	https://github.com/artempyanykh/marksman/releases/tag/2026-02-08	marksman	-	-	naldo-update reports the latest release; audit it, update the pinned release and SHA-256 in CLEAN-INSTALL.md, and replace ~/.local/bin/marksman	rm ~/.local/bin/marksman	Global Markdown language server; State Space selects Markdown Oxide project-locally	all
JetBrainsMono Nerd Font	feature	official-upstream-release	https://github.com/ryanoasis/nerd-fonts/releases/tag/v3.5.0	-	-	-	naldo-update reports the latest release; verify it and replace ~/.local/share/fonts/JetBrainsMonoNerdFont	rm -rf ~/.local/share/fonts/JetBrainsMonoNerdFont then refresh fontconfig	Exact Nerd Fonts family requested by Ghostty and icon-bearing menus	all
